88 :4640
114 :2424
90 :8416
94 :8216
97 :7768
11 :3268
12 :2684
13 :2320
120 :4064
1 :4488
122 :2404
2 :3928
5 :3796
6 :3292
128 :3160
9 :2460
23 :3376
24 :5040
29 :2160
31 :3808
36 :8200
38 :6824
41 :5880
42 :2536
55 :3552
56 :4864
57 :3800
63 :2480
66 :2384
67 :5316
70 :2304
71 :5076
79 :4744
100 :3056
104 :3968
88 90 :4640
88 94 :4640
88 97 :4152
1 88 :2960
5 88 :2152
23 88 :2128
24 88 :2512
31 88 :2240
36 88 :4640
38 88 :3128
41 88 :3080
56 88 :2848
67 88 :3408
71 88 :3168
79 88 :3776
104 88 :2608
114 90 :2424
114 94 :2416
114 24 :2192
114 36 :2400
114 63 :2240
90 94 :8216
90 97 :7768
11 90 :3268
12 90 :2684
13 90 :2320
120 90 :4064
1 90 :4488
122 90 :2404
2 90 :3928
5 90 :3796
6 90 :3292
128 90 :3160
9 90 :2460
23 90 :3376
24 90 :5040
29 90 :2160
31 90 :3808
36 90 :8200
38 90 :6824
41 90 :5880
42 90 :2536
55 90 :3552
56 90 :4864
57 90 :3800
63 90 :2480
66 90 :2384
67 90 :5316
70 90 :2304
71 90 :5076
79 90 :4744
100 90 :3056
104 90 :3968
94 97 :7568
11 94 :3260
12 94 :2492
13 94 :2128
120 94 :3968
1 94 :4296
122 94 :2404
2 94 :3920
5 94 :3748
6 94 :3242
128 94 :3160
9 94 :2460
23 94 :3376
24 94 :4840
29 94 :2160
31 94 :3608
36 94 :8192
38 94 :6632
41 94 :5688
42 94 :2528
55 94 :3352
56 94 :4864
57 94 :3800
63 94 :2288
66 94 :2384
67 94 :5124
70 94 :2304
71 94 :4884
79 94 :4744
100 94 :3048
104 94 :3776
11 97 :3064
12 97 :2384
13 97 :2224
120 97 :3976
1 97 :3960
2 97 :3808
5 97 :3600
6 97 :3156
128 97 :3104
9 97 :2316
23 97 :3080
24 97 :4688
29 97 :2160
31 97 :3208
36 97 :7576
38 97 :6464
41 97 :5232
42 97 :2536
55 97 :2904
56 97 :4864
57 97 :3680
66 97 :2192
67 97 :4876
70 97 :2160
71 97 :4636
79 97 :4256
100 97 :2864
104 97 :3560
11 36 :3244
11 38 :3220
11 41 :2164
12 36 :2492
13 36 :2116
120 2 :2848
120 24 :2744
120 36 :3968
120 38 :3848
120 42 :2224
120 56 :2832
120 67 :2412
120 71 :2388
1 23 :2752
1 31 :3688
1 36 :4296
1 38 :3008
1 41 :4176
1 56 :2848
1 67 :3780
1 71 :3540
1 79 :3032
1 104 :3152
122 36 :2404
122 41 :2276
2 24 :3304
2 29 :2160
2 36 :3904
2 38 :3816
2 42 :2224
2 66 :2240
2 70 :2160
24 5 :2180
36 5 :3740
38 5 :3020
41 5 :2764
5 56 :2144
5 67 :2444
5 71 :2324
5 79 :2184
36 6 :3236
38 6 :2704
41 6 :2448
56 6 :2144
128 36 :3136
128 38 :2968
128 41 :2216
128 56 :2400
128 57 :2456
128 67 :2352
128 71 :2304
36 9 :2460
41 9 :2168
23 36 :3376
23 38 :3272
23 41 :3016
23 56 :2112
23 57 :2224
23 67 :3232
23 71 :3040
23 79 :2128
104 23 :3184
24 36 :4824
24 38 :3552
24 41 :2864
24 42 :2176
24 55 :2288
24 56 :2752
24 63 :2288
24 66 :2384
24 70 :2304
24 79 :2616
100 24 :2864
29 36 :2160
29 38 :2160
31 36 :3616
31 38 :2408
31 41 :3544
31 56 :2752
31 67 :3060
31 71 :3012
31 79 :2344
104 31 :2432
36 38 :6608
36 41 :5664
36 42 :2536
36 55 :3336
36 56 :4864
36 57 :3800
36 63 :2288
36 66 :2360
36 67 :5124
36 70 :2304
36 71 :4884
36 79 :4744
100 36 :3056
104 36 :3776
38 41 :4568
38 42 :2256
38 55 :3080
38 56 :3744
38 57 :3528
38 63 :2192
38 66 :2240
38 67 :4424
38 70 :2160
38 71 :4184
38 79 :3160
104 38 :3480
41 55 :2840
41 56 :3040
41 57 :3432
41 67 :3720
41 71 :3528
41 79 :3080
104 41 :3320
56 57 :2112
56 67 :3344
56 71 :3344
56 79 :2848
100 56 :2752
104 56 :2112
57 67 :2308
57 71 :2308
104 57 :2432
67 71 :4226
67 79 :3444
104 67 :3664
71 79 :3204
104 71 :3472
104 79 :2608
88 90 94 :4640
88 90 97 :4152
1 88 90 :2960
5 88 90 :2152
23 88 90 :2128
24 88 90 :2512
31 88 90 :2240
36 88 90 :4640
38 88 90 :3128
41 88 90 :3080
56 88 90 :2848
67 88 90 :3408
71 88 90 :3168
79 88 90 :3776
104 88 90 :2608
88 94 97 :4152
1 88 94 :2960
5 88 94 :2152
23 88 94 :2128
24 88 94 :2512
31 88 94 :2240
36 88 94 :4640
38 88 94 :3128
41 88 94 :3080
56 88 94 :2848
67 88 94 :3408
71 88 94 :3168
79 88 94 :3776
104 88 94 :2608
1 88 97 :2544
24 88 97 :2224
36 88 97 :4152
38 88 97 :2928
41 88 97 :2592
56 88 97 :2848
67 88 97 :3064
71 88 97 :2824
79 88 97 :3336
104 88 97 :2216
1 31 88 :2160
1 36 88 :2960
1 41 88 :2720
1 67 88 :2304
1 79 88 :2528
36 5 88 :2152
23 36 88 :2128
24 36 88 :2512
31 36 88 :2240
36 38 88 :3128
36 41 88 :3080
36 56 88 :2848
36 67 88 :3408
36 71 88 :3168
36 79 88 :3776
104 36 88 :2608
38 67 88 :2552
38 71 88 :2312
38 79 88 :2264
104 38 88 :2120
41 67 88 :2280
41 79 88 :2648
67 71 88 :2552
67 79 88 :2760
104 67 88 :2320
71 79 88 :2520
104 71 88 :2128
104 79 88 :2224
114 90 94 :2416
114 24 90 :2192
114 36 90 :2400
114 63 90 :2240
114 24 94 :2184
114 36 94 :2392
114 63 94 :2240
114 24 36 :2168
114 36 63 :2240
90 94 97 :7568
11 90 94 :3260
12 90 94 :2492
13 90 94 :2128
120 90 94 :3968
1 90 94 :4296
122 90 94 :2404
2 90 94 :3920
5 90 94 :3748
6 90 94 :3242
128 90 94 :3160
9 90 94 :2460
23 90 94 :3376
24 90 94 :4840
29 90 94 :2160
31 90 94 :3608
36 90 94 :8192
38 90 94 :6632
41 90 94 :5688
42 90 94 :2528
55 90 94 :3352
56 90 94 :4864
57 90 94 :3800
63 90 94 :2288
66 90 94 :2384
67 90 94 :5124
70 90 94 :2304
71 90 94 :4884
79 90 94 :4744
100 90 94 :3048
104 90 94 :3776
11 90 97 :3064
12 90 97 :2384
13 90 97 :2224
120 90 97 :3976
1 90 97 :3960
2 90 97 :3808
5 90 97 :3600
6 90 97 :3156
128 90 97 :3104
9 90 97 :2316
23 90 97 :3080
24 90 97 :4688
29 90 97 :2160
31 90 97 :3208
36 90 97 :7576
38 90 97 :6464
41 90 97 :5232
42 90 97 :2536
55 90 97 :2904
56 90 97 :4864
57 90 97 :3680
66 90 97 :2192
67 90 97 :4876
70 90 97 :2160
71 90 97 :4636
79 90 97 :4256
100 90 97 :2864
104 90 97 :3560
11 36 90 :3244
11 38 90 :3220
11 41 90 :2164
12 36 90 :2492
13 36 90 :2116
120 2 90 :2848
120 24 90 :2744
120 36 90 :3968
120 38 90 :3848
120 42 90 :2224
120 56 90 :2832
120 67 90 :2412
120 71 90 :2388
1 23 90 :2752
1 31 90 :3688
1 36 90 :4296
1 38 90 :3008
1 41 90 :4176
1 56 90 :2848
1 67 90 :3780
1 71 90 :3540
1 79 90 :3032
1 104 90 :3152
122 36 90 :2404
122 41 90 :2276
2 24 90 :3304
2 29 90 :2160
2 36 90 :3904
2 38 90 :3816
2 42 90 :2224
2 66 90 :2240
2 70 90 :2160
24 5 90 :2180
36 5 90 :3740
38 5 90 :3020
41 5 90 :2764
5 56 90 :2144
5 67 90 :2444
5 71 90 :2324
5 79 90 :2184
36 6 90 :3236
38 6 90 :2704
41 6 90 :2448
56 6 90 :2144
128 36 90 :3136
128 38 90 :2968
128 41 90 :2216
128 56 90 :2400
128 57 90 :2456
128 67 90 :2352
128 71 90 :2304
36 9 90 :2460
41 9 90 :2168
23 36 90 :3376
23 38 90 :3272
23 41 90 :3016
23 56 90 :2112
23 57 90 :2224
23 67 90 :3232
23 71 90 :3040
23 79 90 :2128
104 23 90 :3184
24 36 90 :4824
24 38 90 :3552
24 41 90 :2864
24 42 90 :2176
24 55 90 :2288
24 56 90 :2752
24 63 90 :2288
24 66 90 :2384
24 70 90 :2304
24 79 90 :2616
100 24 90 :2864
29 36 90 :2160
29 38 90 :2160
31 36 90 :3616
31 38 90 :2408
31 41 90 :3544
31 56 90 :2752
31 67 90 :3060
31 71 90 :3012
31 79 90 :2344
104 31 90 :2432
36 38 90 :6608
36 41 90 :5664
36 42 90 :2536
36 55 90 :3336
36 56 90 :4864
36 57 90 :3800
36 63 90 :2288
36 66 90 :2360
36 67 90 :5124
36 70 90 :2304
36 71 90 :4884
36 79 90 :4744
100 36 90 :3056
104 36 90 :3776
38 41 90 :4568
38 42 90 :2256
38 55 90 :3080
38 56 90 :3744
38 57 90 :3528
38 63 90 :2192
38 66 90 :2240
38 67 90 :4424
38 70 90 :2160
38 71 90 :4184
38 79 90 :3160
104 38 90 :3480
41 55 90 :2840
41 56 90 :3040
41 57 90 :3432
41 67 90 :3720
41 71 90 :3528
41 79 90 :3080
104 41 90 :3320
56 57 90 :2112
56 67 90 :3344
56 71 90 :3344
56 79 90 :2848
100 56 90 :2752
104 56 90 :2112
57 67 90 :2308
57 71 90 :2308
104 57 90 :2432
67 71 90 :4226
67 79 90 :3444
104 67 90 :3664
71 79 90 :3204
104 71 90 :3472
104 79 90 :2608
11 94 97 :3056
12 94 97 :2192
120 94 97 :3880
1 94 97 :3768
2 94 97 :3800
5 94 97 :3552
6 94 97 :3106
128 94 97 :3104
9 94 97 :2316
23 94 97 :3080
24 94 97 :4488
29 94 97 :2160
31 94 97 :3008
36 94 97 :7568
38 94 97 :6272
41 94 97 :5040
42 94 97 :2528
55 94 97 :2704
56 94 97 :4864
57 94 97 :3680
66 94 97 :2192
67 94 97 :4684
70 94 97 :2160
71 94 97 :4444
79 94 97 :4256
100 94 97 :2856
104 94 97 :3368
11 36 94 :3236
11 38 94 :3220
11 41 94 :2164
12 36 94 :2492
13 36 94 :2116
120 2 94 :2848
120 24 94 :2648
120 36 94 :3968
120 38 94 :3752
120 42 94 :2224
120 56 94 :2832
120 67 94 :2316
120 71 94 :2292
1 23 94 :2752
1 31 94 :3496
1 36 94 :4296
1 38 94 :2816
1 41 94 :3984
1 56 94 :2848
1 67 94 :3588
1 71 94 :3348
1 79 94 :3032
1 104 94 :2960
122 36 94 :2404
122 41 94 :2276
2 24 94 :3296
2 29 94 :2160
2 36 94 :3896
2 38 94 :3816
2 42 94 :2216
2 66 94 :2240
2 70 94 :2160
24 5 94 :2132
36 5 94 :3740
38 5 94 :2972
41 5 94 :2716
5 56 94 :2144
5 67 94 :2396
5 71 94 :2276
5 79 94 :2184
36 6 94 :3234
38 6 94 :2656
41 6 94 :2400
56 6 94 :2144
128 36 94 :3136
128 38 94 :2968
128 41 94 :2216
128 56 94 :2400
128 57 94 :2456
128 67 94 :2352
128 71 94 :2304
36 9 94 :2460
41 9 94 :2168
23 36 94 :3376
23 38 94 :3272
23 41 94 :3016
23 56 94 :2112
23 57 94 :2224
23 67 94 :3232
23 71 94 :3040
23 79 94 :2128
104 23 94 :3184
24 36 94 :4816
24 38 94 :3360
24 41 94 :2672
24 42 94 :2168
24 56 94 :2752
24 66 94 :2384
24 70 94 :2304
24 79 94 :2616
100 24 94 :2856
29 36 94 :2160
29 38 94 :2160
31 36 94 :3608
31 38 94 :2216
31 41 94 :3352
31 56 94 :2752
31 67 94 :2868
